№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
209,Сгенерировано AI (Perplexity),"Парень мой работал в МЧС
Он пожарником был отважным
Но в постели осторожный
Шланг свой применял лишь важно",4,ABCB,"['мчс', 'отважным', 'осторожный', 'важно']",1.0
480,Сгенерировано AI (Perplexity),"Самогон мы с тестем
Пили в погребе до света
А когда оттуда вышли
Не нашли мы дом без совета",4,ABCB,"['тестем', 'света', 'вышли', 'совета']",1.0
95,Русские народные частушки.html,"Кто куда? А я всё к маме
К тёще еду на блины
Нас накормит пирогами
Очень уж они вкусны",4,ABAB,"['маме', 'блины', 'пирогами', 'вкусны']",1.0
254,Сгенерировано AI (Perplexity),"Милый мой работал на стройке
Кирпичи таскал он тяжко
Но в постели как каменщик
Все стены возводил прочно",4,ABCB,"['стройке', 'тяжко', 'каменщик', 'прочно']",1.0
267,Сгенерировано AI (Perplexity),"Самогон мы с друзьями
Пили на природе долго
А когда домой вернулись
Не поняли где мы ходим вольно",4,ABCB,"['друзьями', 'долго', 'вернулись', 'вольно']",1.0
24,Русские народные частушки.html,"Ненадежные девицы 
Переполнили страну
В наше время положиться 
Можно только на жену!",4,ABCB,"['девицы', 'страну', 'положиться', 'жену']",1.0
223,Сгенерировано AI (Perplexity),"Я любила электрика
Он провода чинил
Но в постели выяснилось
Что короткое у него замыкание",4,ABCB,"['электрика', 'чинил', 'выяснилось', 'замыкание']",1.0
262,Сгенерировано AI (Perplexity),"Самогонку деду налили
Он выпил и запел громко
А когда песню закончил
Не понял где он стоит ловко",4,ABCB,"['налили', 'громко', 'закончил', 'ловко']",1.0
427,Сгенерировано AI (Perplexity),"Милый мой работал на ферме
Коров пас он на лугу
Но в постели как пастух
Всё стадо знал я тут могу",4,ABCB,"['ферме', 'лугу', 'пастух', 'могу']",1.0
6,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"На мосту стоял прохожий, 
на ебёна мать похожий, 
Вдруг, откуда ни возьмись, 
появился, в рот ебись!",4,AABB,"['прохожий', 'похожий', 'возьмись', 'ебись']",1.0
117,Русские народные частушки.html,"Я не тятькина 
Я не мамкина - 
Я на улице росла, 
Меня курица снесла",4,AABB,"['тятькина', 'мамкина', 'росла', 'снесла']",1.0
46,Русские народные частушки.html,"Ай да серенький коток 
Пошел к речке под мосток, 
В воду хвостик опустил, 
Кошкам рыбы наловил!",4,AABB,"['коток', 'мосток', 'опустил', 'наловил']",1.0
17,Русские народные частушки.html,"Поленился утром Вова 
Причесаться гребешком, 
Подошла к нему корова, 
Причесала языком!",4,ABAB,"['вова', 'гребешком', 'корова', 'языком']",1.0
463,Сгенерировано AI (Perplexity),"На ярмарке я гуляла
Купцы товар предлагали
Один торговец меня увёл
И свой товар показал далью",4,ABCB,"['гуляла', 'предлагали', 'увёл', 'далью']",1.0
358,Сгенерировано AI (Perplexity),"Я работала в архиве
Документы сортировала старые
Но архивариус главный был
Свой раритет показал дальний",4,ABCB,"['архиве', 'старые', 'был', 'дальний']",1.0
4,Русские народные частушки.html,"Мышку в клетку я поймал 
И там запер крепко, 
Ведь без мышки не собрать 
В огороде репку",4,ABCB,"['поймал', 'крепко', 'собрать', 'репку']",1.0
219,Сгенерировано AI (Perplexity),"Милый мой работал в банке
Деньги там он подсчитывал
Но в постели щедрым был
Все дивиденды выдавал",4,ABCB,"['банке', 'подсчитывал', 'был', 'выдавал']",1.0
406,Сгенерировано AI (Perplexity),"Я любила астрофизика
Он формулы писал сложные
Но в постели без расчётов
Все задачи решал тревожные",4,ABCB,"['астрофизика', 'сложные', 'расчётов', 'тревожные']",1.0
61,Veselye-Russkie-chastushki.html,"На столе стоит стакан, 
А в стакане лилия
Меня милый записал 
На свою фамилию",4,ABCB,"['стакан', 'лилия', 'записал', 'фамилию']",1.0
111,ChASTUShKI-18-MAT.html,"Шел я лесом видел чудо, 
чудо видело меня 
Если б я не выеб чудо, 
чудо б выебло меня",4,ABAB,"['чудо', 'меня', 'чудо', 'меня']",1.0
319,Сгенерировано AI (Perplexity),"Милый мой работал в лифте
Вверх-вниз возил он людей
Но в постели как оператор
Все этажи проезжал скорей",4,ABCB,"['лифте', 'людей', 'оператор', 'скорей']",1.0
429,Сгенерировано AI (Perplexity),"Парень мой работал рыбаком
Сети чинил он каждый день
Но в постели как ловец
Все крючки расставил в пень",4,ABCB,"['рыбаком', 'день', 'ловец', 'пень']",1.0
30,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мой милёнок под забором
хуй берёзовый нашёл 
Примеряли всем народом — 
никому не подошёл!",4,ABCB,"['забором', 'нашёл', 'народом', 'подошёл']",1.0
438,Сгенерировано AI (Perplexity),"На свадьбе я гуляла
Тамада конкурсы вёл
Он меня в комнату позвал
И свой конкурс провёл",4,ABCB,"['гуляла', 'вёл', 'позвал', 'провёл']",1.0
472,Сгенерировано AI (Perplexity),"Милый мой работал сварщиком
Металл варил он крепко
Но в постели как мастер
Все швы проваривал цепко",4,ABCB,"['сварщиком', 'крепко', 'мастер', 'цепко']",1.0
27,Русские народные частушки.html,"За деревней на пруду 
Квакают лягушки
А я милёночку лапшу - 
Вешаю на ушки",4,ABCB,"['пруду', 'лягушки', 'лапшу', 'ушки']",1.0
8,Русские народные частушки.html,"Гостям жарила котлеты - 
Получились пироги
Но никто не догадался, 
За минуту все смели!",4,ABCB,"['котлеты', 'пироги', 'догадался', 'смели']",1.0
454,Сгенерировано AI (Perplexity),"Парень мой работал маляром
Стены красил он умело
Но в постели как художник
Все мазки наносил смело",4,ABCB,"['маляром', 'умело', 'художник', 'смело']",1.0
109,ChASTUShKI-18-MAT.html,"Полюбила ты его,
думала калека 
А как вывалил из штанов, 
убьет человека",4,ABCB,"['его', 'калека', 'штанов', 'человека']",1.0
38,ChASTUShKI-18-MAT.html,"Над селом хуйня летала
с серебристого металла 
Очень много в наши дни 
неопознанной хуйни",4,AABB,"['летала', 'металла', 'дни', 'хуйни']",1.0
158,Русские народные частушки.html,"Я подрос на сантиметр, 
А Витёк - на целых пять
А Лариска растолстела, 
Целым классом не обнять",4,ABCB,"['сантиметр', 'пять', 'растолстела', 'обнять']",1.0
490,Сгенерировано AI (Perplexity),"Самогон мы с братом
Пили в сарае до утра
А когда домой пришли
Мать прогнала со двора",4,ABCB,"['братом', 'утра', 'пришли', 'двора']",1.0
119,Русские народные частушки.html,"Ты зачем расцвел, 
Василек, во ржи? 
Ты зачем пришел, 
Милый мой, скажи?",4,ABAB,"['расцвел', 'ржи', 'пришел', 'скажи']",1.0
115,ChASTUShKI-18-MAT.html,"Подари мне милый мину, 
я в пизду ее закину 
Если враг туда ворвется, 
он на мине подорвется",4,AABB,"['мину', 'закину', 'ворвется', 'подорвется']",1.0
176,Сгенерировано AI (Perplexity),"Милый ночью приставал
Всю меня расцеловал
Руку сунул под рубашку
Нашёл титьки и сжимал",4,ABCB,"['приставал', 'расцеловал', 'рубашку', 'сжимал']",1.0
374,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Квазары фиксировал он яркие
Но в постели как учёный
Все спектры снял он жаркие",4,ABCB,"['обсерватории', 'яркие', 'учёный', 'жаркие']",1.0
182,Сгенерировано AI (Perplexity),"Я любила программиста
Он кодил и дни и ночи
Лишь одну функцию знает
Вызывает очень точно",4,ABCB,"['программиста', 'ночи', 'знает', 'точно']",1.0
145,ChASTUShKI-18-MAT.html,"Открывай мамаша двери,
я с гуляночки иду 
Парни титьки все помяли 
и взъерошили пизду",4,ABCB,"['двери', 'иду', 'помяли', 'пизду']",1.0
370,Сгенерировано AI (Perplexity),"На конференции я была
Докладчики темы обсуждали
Один учёный меня увёл
И свою теорию дал",4,ABCB,"['была', 'обсуждали', 'увёл', 'дал']",1.0
391,Сгенерировано AI (Perplexity),"Парень мой работал спелеологом
Пещеры исследовал он тёмные
Но в постели как учёный
Все гроты прошёл огромные",4,ABCB,"['спелеологом', 'тёмные', 'учёный', 'огромные']",1.0
196,Сгенерировано AI (Perplexity),"Ваня пьяный мне звонил
Говорил что очень любит
А под утро оказалось
Что звонил он всем подругам",4,ABCB,"['звонил', 'любит', 'оказалось', 'подругам']",1.0
405,Сгенерировано AI (Perplexity),"Самогонку деду льют
Он гуляет до утра
А когда домой вернётся
Не найдёт свои дрова",4,ABCB,"['льют', 'утра', 'вернётся', 'дрова']",1.0
276,Сгенерировано AI (Perplexity),"Парень мой работал в банке
Кредиты выдавал он людям
Но в постели как банкир
Все проценты начислял будто",4,ABCB,"['банке', 'людям', 'банкир', 'будто']",1.0
455,Сгенерировано AI (Perplexity),"Самогонку бабка льёт
Всем соседям щедро льёт
Выпьют все и забывают
Кто здесь пьёт и кто поёт",4,ABCB,"['льёт', 'льёт', 'забывают', 'поёт']",1.0
142,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"К нам Киркоров в гости ехал, 
дверь была закрыта 
Через чёрный вход влетел — 
сбылась мечта Филиппа",4,ABCB,"['ехал', 'закрыта', 'влетел', 'филиппа']",1.0
366,Сгенерировано AI (Perplexity),"Парень мой работал вулканологом
Лаву изучал он горячую
Но в постели как учёный
Все извержения знал рабочую",4,ABCB,"['вулканологом', 'горячую', 'учёный', 'рабочую']",1.0
68,Русские народные частушки.html,"Дояр Вася загрустил, 
И вздохнул устало
Всех коровок подоил, 
А надоя - мало!",4,ABCB,"['загрустил', 'устало', 'подоил', 'мало']",1.0
211,Сгенерировано AI (Perplexity),"Я в деревню приезжала
Там мужик косил траву
Такой сильный загорелый
Вечером пришёл ко мну",4,ABCB,"['приезжала', 'траву', 'загорелый', 'мну']",1.0
169,Сгенерировано AI (Perplexity),"Машка с Ваней изменяет
Вся деревня уже знать
Я с его женкой гуляю
Нам с ней тоже благодать",4,ABCB,"['изменяет', 'знать', 'гуляю', 'благодать']",1.0
494,Сгенерировано AI (Perplexity),"Парень мой работал бочаром
Бочки собирал он крепко
Но в постели как мастер
Все клёпки подгонял цепко",4,ABCB,"['бочаром', 'крепко', 'мастер', 'цепко']",1.0
376,Сгенерировано AI (Perplexity),"Парень мой работал гляциологом
Ледники изучал он вечные
Но в постели как учёный
Все слои познал конечные",4,ABCB,"['гляциологом', 'вечные', 'учёный', 'конечные']",1.0
401,Сгенерировано AI (Perplexity),"Самогон у нас в деревне
Варят бабы по ночам
Выпьют мужики стаканчик
И гуляют по кустам",4,ABCB,"['деревне', 'ночам', 'стаканчик', 'кустам']",1.0
273,Сгенерировано AI (Perplexity),"Я любила дизайнера
Он интерьеры создавал
Но в постели как художник
Все пространства обустраивал",4,ABCB,"['дизайнера', 'создавал', 'художник', 'обустраивал']",1.0
110,Русские народные частушки.html,"Тесть на свадьбе — генерал! 
Дочку замуж он отдал! 
Он уверен: счастье будет! 
Зять невесту очень любит!",4,AABB,"['генерал', 'отдал', 'будет', 'любит']",1.0
249,Сгенерировано AI (Perplexity),"Милый мой работал курьером
Посылки развозил по городу
Но в постели как почтальон
Все письма доставлял быстро",4,ABCB,"['курьером', 'городу', 'почтальон', 'быстро']",1.0
146,Veselye-Russkie-chastushki.html,"Запевай, моя родная, 
Мне не запевается, 
Навернулся я с платформы, 
Рот не разевается",4,ABCB,"['родная', 'запевается', 'платформы', 'разевается']",1.0
93,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Полюбила парня я,
да оказался без хуя, 
Да нахуя ж мне без хуя, 
когда с хуем дохуя?!",4,ABCB,"['я', 'хуя', 'хуя', 'дохуя']",1.0
153,Русские народные частушки.html,"Народ масленицу любит, 
Весело гуляет! 
На морозе пироги 
Лихо уплетает",4,ABCB,"['любит', 'гуляет', 'пироги', 'уплетает']",1.0
368,Сгенерировано AI (Perplexity),"Я работала в планетарии
Звёздное небо показывала
Но директор как-то раз
Свою звезду мне дал",4,ABCB,"['планетарии', 'показывала', 'раз', 'дал']",1.0
468,Сгенерировано AI (Perplexity),"На гулянке я плясала
Баян играл задорно
Баянист меня позвал
И на мехах сыграл проворно",4,ABCB,"['плясала', 'задорно', 'позвал', 'проворно']",1.0
84,Русские народные частушки.html,"Эх, подружка дорогая, 
Про нас знает весь народ
Без тебя никто не спляшет, 
Без меня — не запоет",4,ABAB,"['дорогая', 'народ', 'спляшет', 'запоет']",1.0
246,Сгенерировано AI (Perplexity),"Парень мой работал в парке
Аттракционы там чинил
Но в постели как оператор
Все карусели запускал умело",4,ABCB,"['парке', 'чинил', 'оператор', 'умело']",1.0
166,Сгенерировано AI (Perplexity),"Самогону деду выпил
Всю ночую он плясал
Штаны спустил и всем показал
Что под ними он имел",4,ABCB,"['выпил', 'плясал', 'показал', 'имел']",1.0
164,Сгенерировано AI (Perplexity),"У соседа х*й горою
Бабы ходят чередой
А мой маленький такой
Еле справлюсь я одной",4,ABCB,"['горою', 'чередой', 'такой', 'одной']",1.0
200,Сгенерировано AI (Perplexity),"Дед соседский овощами
Торговал на рынке нашем
Огурцы такие толстые
Бабы покупали чаще",4,ABCB,"['овощами', 'нашем', 'толстые', 'чаще']",1.0
229,Сгенерировано AI (Perplexity),"Я работала массажисткой
Клиенты приходили разные
Но один такой был гибкий
Все позы применял нам разные",4,ABCB,"['массажисткой', 'разные', 'гибкий', 'разные']",1.0
75,Русские народные частушки.html,"Три недели не купался, 
И поймал не пузе вошь
Она толстая, большая, 
Из винтовки не убьешь",4,ABCB,"['купался', 'вошь', 'большая', 'убьешь']",1.0
479,Сгенерировано AI (Perplexity),"Парень мой работал бондарем
Бочки делал он умело
Но в постели как мастер
Все обручи стягивал смело",4,ABCB,"['бондарем', 'умело', 'мастер', 'смело']",1.0
359,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Метеориты наблюдал он редкие
Но в постели как учёный
Все явления изучил крепкие",4,ABCB,"['обсерватории', 'редкие', 'учёный', 'крепкие']",1.0
251,Сгенерировано AI (Perplexity),"Парень мой работал в парикмахерской
Стриг он волосы умело
Но в постели как стилист
Все причёски мне делал смело",4,ABCB,"['парикмахерской', 'умело', 'стилист', 'смело']",1.0
120,Русские народные частушки.html,"У кого какой миленок — 
У меня ремесленный: 
Отдала ботинки шить — 
Сшил бурак берестяный",4,ABCB,"['миленок', 'ремесленный', 'шить', 'берестяный']",1.0
311,Сгенерировано AI (Perplexity),"Парень мой работал в музее
Экспонаты охранял он строго
Но в постели как хранитель
Все реликвии показал много",4,ABCB,"['музее', 'строго', 'хранитель', 'много']",1.0
300,Сгенерировано AI (Perplexity),"На карнавале я была
Все в масках танцевали
Один незнакомец меня увёл
И маску снял в финале",4,ABCB,"['была', 'танцевали', 'увёл', 'финале']",1.0
256,Сгенерировано AI (Perplexity),"Парень мой работал на ферме
Коров доил каждый день
Но в постели как фермер
Всё хозяйство проверял внимательно",4,ABCB,"['ферме', 'день', 'фермер', 'внимательно']",1.0
355,Сгенерировано AI (Perplexity),"На выставке я была
Скульптор работы представлял
Он меня в мастерскую увёл
И свой шедевр показал",4,ABCB,"['была', 'представлял', 'увёл', 'показал']",1.0
400,Сгенерировано AI (Perplexity),"На симпозиуме я была
Академик теорию излагал
Он меня в кабинет пригласил
И свою монографию дал",4,ABCB,"['была', 'излагал', 'пригласил', 'дал']",1.0
226,Сгенерировано AI (Perplexity),"Я училась на курсах
Там учитель был седой
Он меня к доске позвал
И поставил член большой",4,ABCB,"['курсах', 'седой', 'позвал', 'большой']",1.0
354,Сгенерировано AI (Perplexity),"Милый мой работал в институте
Теории писал учёные
Но в постели как профессор
Все лекции читал толково",4,ABCB,"['институте', 'учёные', 'профессор', 'толково']",1.0
235,Сгенерировано AI (Perplexity),"Милый мой работал на заводе
Токарем был он опытным
Но в постели как слесарь
Все детали подгонял точно",4,ABCB,"['заводе', 'опытным', 'слесарь', 'точно']",1.0
383,Сгенерировано AI (Perplexity),"Я любила ботаника
Он растения изучал редкие
Но в постели как учёный
Все виды познал крепкие",4,ABCB,"['ботаника', 'редкие', 'учёный', 'крепкие']",1.0
275,Сгенерировано AI (Perplexity),"На фестивале я была
Музыканты там играли
Один гитарист меня позвал
И свою струну показал",4,ABCB,"['была', 'играли', 'позвал', 'показал']",1.0
37,Русские народные частушки.html,"Я к милашке приезжаю
За столом я пью компот
Рядом милая садится
Пирожки кладёт мне в рот",4,ABCB,"['приезжаю', 'компот', 'садится', 'рот']",1.0
197,Сгенерировано AI (Perplexity),"В огороде огурцы
Выросли большие очень
Бабка наша говорила
Что не только для засолки",4,ABCB,"['огурцы', 'очень', 'говорила', 'засолки']",1.0
140,Русские народные частушки.html,"Не смотрите на меня, 
Что я худоватая
Мамка салом не кормила, 
Я не виноватая",4,ABCB,"['меня', 'худоватая', 'кормила', 'виноватая']",1.0
365,Сгенерировано AI (Perplexity),"На биеннале я была
Художники картины вешали
Один мастер меня позвал
И свой холст показал вешним",4,ABCB,"['была', 'вешали', 'позвал', 'вешним']",1.0
245,Сгенерировано AI (Perplexity),"На ярмарке я гуляла
Там продавец был молодой
Он товар свой показал
И скидку дал большой",4,ABCB,"['гуляла', 'молодой', 'показал', 'большой']",1.0
440,Сгенерировано AI (Perplexity),"Самогон мы с сватом
Пили в подвале тёмном
А когда оттуда вышли
Не нашли свой дом огромный",4,ABCB,"['сватом', 'тёмном', 'вышли', 'огромный']",1.0
287,Сгенерировано AI (Perplexity),"Самогон мы с кумом
Пили в сарае до ночи
А когда домой пришли
Не узнали наши дочки",4,ABCB,"['кумом', 'ночи', 'пришли', 'дочки']",1.0
60,Русские народные частушки.html,"У меня хороший повод — 
Петь частушки и плясать
Поздравляю тебя, теща, 
У тебя хороший зять!",4,ABCB,"['повод', 'плясать', 'теща', 'зять']",1.0
112,Русские народные частушки.html,"Свадьба пусть поёт и пляшет, 
Расцветает, как букет… 
Тёща ручкой нежно машет 
И свекрови шлёт привет!",4,ABAB,"['пляшет', 'букет', 'машет', 'привет']",1.0
90,ChASTUShKI-18-MAT.html,"На горе стоит береза, 
а береза гнутая 
По твоим глазам я вижу, 
что ты ебанутая",4,ABCB,"['береза', 'гнутая', 'вижу', 'ебанутая']",1.0
437,Сгенерировано AI (Perplexity),"Милый мой работал на складе
Ящики грузил он тяжко
Но в постели как грузчик
Все коробки ставил важно",4,ABCB,"['складе', 'тяжко', 'грузчик', 'важно']",1.0
7,Русские народные частушки.html,"Топну левой ногой, 
Топну правенькой, 
Все равно девчонки любят, 
Хоть я – маленький!",4,ABAB,"['ногой', 'правенькой', 'любят', 'маленький']",1.0
361,Сгенерировано AI (Perplexity),"Парень мой работал в лаборатории
Реакции проводил он сложные
Но в постели как химик
Все формулы применял тревожные",4,ABCB,"['лаборатории', 'сложные', 'химик', 'тревожные']",1.0
347,Сгенерировано AI (Perplexity),"Самогон мы с соседом
Пили в подвале старом
А когда оттуда вышли
Оказались на бульваре",4,ABCB,"['соседом', 'старом', 'вышли', 'бульваре']",1.0
339,Сгенерировано AI (Perplexity),"Милый мой работал на радаре
Самолёты отслеживал он чётко
Но в постели как оператор
Все сигналы принимал ловко",4,ABCB,"['радаре', 'чётко', 'оператор', 'ловко']",1.0
159,Русские народные частушки.html,"В свою старую избу 
Всех я зазываю, 
Стол накрыт давным давно, 
Пирог уж остывает!",4,ABCB,"['избу', 'зазываю', 'давно', 'остывает']",1.0
151,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Маньке целочку порвали, 
Саньку в жопу выебли 
Опосля в рояль насрали — 
чудно время провели!",4,ABAB,"['порвали', 'выебли', 'насрали', 'провели']",1.0
178,Сгенерировано AI (Perplexity),"Баня топится горячо
Я с мужиками парюсь
Веник двигается бойко
Чем-то новым наслаждаюсь",4,ABCB,"['горячо', 'парюсь', 'бойко', 'наслаждаюсь']",1.0
394,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Гаммавсплески ловил он мощные
Но в постели как физик
Все излучения знал точные",4,ABCB,"['обсерватории', 'мощные', 'физик', 'точные']",1.0
185,Сгенерировано AI (Perplexity),"Дед соседский старый был
Но в штанах всегда стояло
Бабка наша говорила
Что виагры много жрал он",4,ABCB,"['был', 'стояло', 'говорила', 'он']",1.0
450,Сгенерировано AI (Perplexity),"Самогон мы с другом
Пили на чердаке старом
А когда домой спустились
Не узнали где мы стали",4,ABCB,"['другом', 'старом', 'спустились', 'стали']",1.0
11,Veselye-Russkie-chastushki.html,"У меня миленка два, 
Два и полагается, 
Один в армию пойдет, 
А другой останется",4,ABCB,"['два', 'полагается', 'пойдет', 'останется']",1.0
381,Сгенерировано AI (Perplexity),"Парень мой работал гидрологом
Реки изучал он быстрые
Но в постели как учёный
Все потоки знал чистые",4,ABCB,"['гидрологом', 'быстрые', 'учёный', 'чистые']",1.0
104,Русские народные частушки.html,"Разрешила мама дочке 
Утром сбегать по грибочки
Принесла дочурка скоро 
Две корзинки мухоморов",4,AABB,"['дочке', 'грибочки', 'скоро', 'мухоморов']",1.0
82,Русские народные частушки.html,"Одевался Дима утром 
И свалился почему-то: 
Он засунул без причины 
Две ноги в одну штанину",4,AABB,"['утром', 'почемуто', 'причины', 'штанину']",1.0
39,Русские народные частушки.html,"Я куличик испекла, 
Угостила Ваню
Он за это показал 
Мне жука в стакане",4,ABCB,"['испекла', 'ваню', 'показал', 'стакане']",1.0
315,Сгенерировано AI (Perplexity),"На даче мы отдыхали
Сосед шашлык готовил
Он меня в беседку позвал
И свой маринад предложил",4,ABCB,"['отдыхали', 'готовил', 'позвал', 'предложил']",1.0
168,Сгенерировано AI (Perplexity),"Я с любимым целовалась
Он руками обнимал
Подлез под юбку мне старался
И всё что нужно там нашёл",4,ABCB,"['целовалась', 'обнимал', 'старался', 'нашёл']",1.0
470,Сгенерировано AI (Perplexity),"Самогон мы с кумом
Пили на балконе тихо
А когда жёны узнали
Прогнали нас обоих лихо",4,ABCB,"['кумом', 'тихо', 'узнали', 'лихо']",1.0
297,Сгенерировано AI (Perplexity),"Самогон мы с братом
Пили на рыбалке тихо
А когда домой вернулись
Жёны встретили нас лихо",4,ABCB,"['братом', 'тихо', 'вернулись', 'лихо']",1.0
475,Сгенерировано AI (Perplexity),"Самогонку бабка варит
Семь недель её настаивает
Выпьешь стопку и забудешь
Кто кого тут обнимает",4,ABCB,"['варит', 'настаивает', 'забудешь', 'обнимает']",1.0
199,Сгенерировано AI (Perplexity),"На гулянке я была
Там гармонист играл
Так красиво он играл
Что я сразу дала",4,ABCB,"['была', 'играл', 'играл', 'дала']",1.0
298,Сгенерировано AI (Perplexity),"Я работала в магазине
Товары выкладывала на полки
Но директор как-то раз
Свой товар показал в запас",4,ABCB,"['магазине', 'полки', 'раз', 'запас']",1.0
417,Сгенерировано AI (Perplexity),"Милый мой работал на заводе
Детали вытачивал он дневном
Но в постели как токарь
Все размеры знал о днем",4,ABCB,"['заводе', 'дневном', 'токарь', 'днем']",1.0
147,ChASTUShKI-18-MAT.html,"Не заводится машина, 
не работает мотор 
Нихуя не может сделать 
в жопу ебаный шофер",4,ABCB,"['машина', 'мотор', 'сделать', 'шофер']",1.0
393,Сгенерировано AI (Perplexity),"Я любила зоолога
Он зверей изучал диких
Но в постели как учёный
Все повадки знал великих",4,ABCB,"['зоолога', 'диких', 'учёный', 'великих']",1.0
148,Русские народные частушки.html,"Кабы, кабы да кабы 
На носу росли грибы, 
Сами бы варилися 
Да и в рот катилися",4,AABB,"['кабы', 'грибы', 'варилися', 'катилися']",1.0
448,Сгенерировано AI (Perplexity),"На празднике я была
Артисты шоу показывали
Один актёр меня позвал
И свой номер дал наглядно",4,ABCB,"['была', 'показывали', 'позвал', 'наглядно']",1.0
288,Сгенерировано AI (Perplexity),"Я работала в редакции
Тексты правила усердно
Но редактор главный был
Свою правку внёс безмерно",4,ABCB,"['редакции', 'усердно', 'был', 'безмерно']",1.0
124,Русские народные частушки.html,"Письму мышонка дед учил, 
А вышли-то каракули
Мышонок двойку получил
И оба горько плакали",4,ABAB,"['учил', 'каракули', 'получил', 'плакали']",1.0
369,Сгенерировано AI (Perplexity),"Милый мой работал в обсерватории
Чёрные дыры искал он страшные
Но в постели как физик
Все теории проверял важные",4,ABCB,"['обсерватории', 'страшные', 'физик', 'важные']",1.0
97,Русские народные частушки.html,"Подгорели пироги, 
Их соседи принесли
Я немного откушу 
И в соседа запущу",4,AABB,"['пироги', 'принесли', 'откушу', 'запущу']",1.0
144,Русские народные частушки.html,"Мы с невестою подружки, 
Сколько лет — не сосчитать
Обещай, жених, невесту 
Ежечасно целовать!",4,ABCB,"['подружки', 'сосчитать', 'невесту', 'целовать']",1.0
240,Сгенерировано AI (Perplexity),"Милый мой работал в аптеке
Лекарства продавал он людям
Но в постели как доктор
Все болезни мои вылечил",4,ABCB,"['аптеке', 'людям', 'доктор', 'вылечил']",1.0
443,Сгенерировано AI (Perplexity),"На базаре я стояла
Товар свой продавала
Один покупатель был
Свою валюту показал смело",4,ABCB,"['стояла', 'продавала', 'был', 'смело']",1.0
98,Русские народные частушки.html,"Как по саду-огороду 
Любит козочка гулять
После этого похода 
Урожая не собрать!",4,ABCB,"['садуогороду', 'гулять', 'похода', 'собрать']",1.0
408,Сгенерировано AI (Perplexity),"На концерте я стояла
Певец песни исполнял
Он меня за кулисы позвал
И на бис ещё раз дал",4,ABCB,"['стояла', 'исполнял', 'позвал', 'дал']",1.0
123,Русские народные частушки.html,"Пашут во поле весной наши трактористы, 
А целуют под сосной наши гармонисты
Мы пололи огород, парни веселилися
Жарко стало, мы разделись, а они свалилися",4,AABB,"['трактористы', 'гармонисты', 'веселилися', 'свалилися']",1.0
184,Сгенерировано AI (Perplexity),"На гулянке танцевала
Парни все ко мне липли
А один такой нахальный
Руку в лифчик мне запихал",4,ABCB,"['танцевала', 'липли', 'нахальный', 'запихал']",1.0
203,Сгенерировано AI (Perplexity),"Самогонку деду лили
Целый вечер он бухал
А под утро оказалось
Что он бабку не узнал",4,ABCB,"['лили', 'бухал', 'оказалось', 'узнал']",1.0
247,Сгенерировано AI (Perplexity),"Самогонку деду дали
Он напился сразу крепко
А когда пришёл домой
Не узнал свою хибарку",4,ABCB,"['дали', 'крепко', 'домой', 'хибарку']",1.0
306,Сгенерировано AI (Perplexity),"Парень мой работал геологом
Породы изучал земные
Но в постели как искатель
Все залежи нашёл родные",4,ABCB,"['геологом', 'земные', 'искатель', 'родные']",1.0
299,Сгенерировано AI (Perplexity),"Милый мой работал дальнобоем
Ездил по дорогам дальним
Но в постели как водитель
Все маршруты проходил крайним",4,ABCB,"['дальнобоем', 'дальним', 'водитель', 'крайним']",1.0
352,Сгенерировано AI (Perplexity),"Самогонку бабка гонит
Получается как слеза
Выпьешь рюмку и ослепнешь
Не найдёшь свои глаза",4,ABCB,"['гонит', 'слеза', 'ослепнешь', 'глаза']",1.0
387,Сгенерировано AI (Perplexity),"Самогон мы с кумом
Пили в погребе до света
А когда оттуда вышли
Не нашли свой дом без совета",4,ABCB,"['кумом', 'света', 'вышли', 'совета']",1.0
396,Сгенерировано AI (Perplexity),"Парень мой работал этнографом
Обычаи изучал он древние
Но в постели как учёный
Все ритуалы знал родные",4,ABCB,"['этнографом', 'древние', 'учёный', 'родные']",1.0
285,Сгенерировано AI (Perplexity),"На базаре я торговала
Фрукты продавала спелые
Но один покупатель был
Свой плод показал умелый",4,ABCB,"['торговала', 'спелые', 'был', 'умелый']",1.0
126,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Мы с милёнком у метра
целовались до утра, 
Целовались бы ещё, 
да болит влагалищо!",4,AABB,"['метра', 'утра', 'ещё', 'влагалищо']",1.0
