№,Источник,Текст,Строк,Схема_рифмовки,Рифмующиеся_слова,Валидность
138,Русские народные частушки.html,"Если ягода созрела, 
Надо ягоду сорвать
Звать невестой надоело — 
Знать, пора женою звать!",4,ABCB,"['созрела', 'сорвать', 'надоело', 'звать']",1.0
139,Русские народные частушки.html,"Летом скучно без частушек, 
Без весёлых песен - 
Без гармошки заводной 
Мир неинтересен!",4,ABCB,"['частушек', 'песен', 'заводной', 'неинтересен']",1.0
140,Русские народные частушки.html,"Не смотрите на меня, 
Что я худоватая
Мамка салом не кормила, 
Я не виноватая",4,ABCB,"['меня', 'худоватая', 'кормила', 'виноватая']",1.0
141,ChASTUShKI-18-MAT.html,"Как бежал мимо амбара, 
думал мыши там пищат 
Глянул, две пизды дерутся, 
только волосы трещат",4,ABCB,"['амбара', 'пищат', 'дерутся', 'трещат']",1.0
142,CMH-mzlff-bratishkin-Chastushki-3-Ditties-3-Lyrics-_-Genius-Lyrics.html,"К нам Киркоров в гости ехал, 
дверь была закрыта 
Через чёрный вход влетел — 
сбылась мечта Филиппа",4,ABCB,"['ехал', 'закрыта', 'влетел', 'филиппа']",1.0
143,Русские народные частушки.html,"Не спеши, подружка, замуж, 
Походи по улице
Еще перина не готова — 
Перышки на курице",4,ABCB,"['замуж', 'улице', 'готова', 'курице']",1.0
144,Русские народные частушки.html,"Мы с невестою подружки, 
Сколько лет — не сосчитать
Обещай, жених, невесту 
Ежечасно целовать!",4,ABCB,"['подружки', 'сосчитать', 'невесту', 'целовать']",1.0
145,ChASTUShKI-18-MAT.html,"Открывай мамаша двери,
я с гуляночки иду 
Парни титьки все помяли 
и взъерошили пизду",4,ABCB,"['двери', 'иду', 'помяли', 'пизду']",1.0
146,Veselye-Russkie-chastushki.html,"Запевай, моя родная, 
Мне не запевается, 
Навернулся я с платформы, 
Рот не разевается",4,ABCB,"['родная', 'запевается', 'платформы', 'разевается']",1.0
147,ChASTUShKI-18-MAT.html,"Не заводится машина, 
не работает мотор 
Нихуя не может сделать 
в жопу ебаный шофер",4,ABCB,"['машина', 'мотор', 'сделать', 'шофер']",1.0
148,Русские народные частушки.html,"Кабы, кабы да кабы 
На носу росли грибы, 
Сами бы варилися 
Да и в рот катилися",4,AABB,"['кабы', 'грибы', 'варилися', 'катилися']",1.0
149,Русские народные частушки.html,"Все у тестя по уму! 
Любит он свою жену! 
Деньги лихо достает — 
Дочку замуж отдает!",4,AABB,"['уму', 'жену', 'достает', 'отдает']",1.0
150,Русские народные частушки.html,"Дорогой по осени 
Сказал словечко тайное: — 
Припасай, сударушка, 
Колечко обручальное",4,ABCB,"['осени', 'тайное', 'сударушка', 'обручальное']",1.0
151,Sektor-Gaza-Sektor-Gaza-Chastushki-Ditties-Lyrics-_-Genius-Lyrics.html,"Маньке целочку порвали, 
Саньку в жопу выебли 
Опосля в рояль насрали — 
чудно время провели!",4,ABAB,"['порвали', 'выебли', 'насрали', 'провели']",1.0
152,Veselye-Russkie-chastushki.html,"Мой миленок, соколенок, 
Посидим под грушею
Ты частушки запевай, 
А я тебя послушаю!",4,ABCB,"['соколенок', 'грушею', 'запевай', 'послушаю']",1.0
153,Русские народные частушки.html,"Народ масленицу любит, 
Весело гуляет! 
На морозе пироги 
Лихо уплетает",4,ABCB,"['любит', 'гуляет', 'пироги', 'уплетает']",1.0
154,Русские народные частушки.html,"Я частушку на частушку, 
Как на ниточку, вяжу
Ты досказывай, подружка, 
Если я не доскажу",4,ABAB,"['частушку', 'вяжу', 'подружка', 'доскажу']",1.0
155,Русские народные частушки.html,"Снова ты сварила щи, 
Ими рот пополощи
Пойду к Катьке на порог, 
Пригласила на пирог",4,AABB,"['щи', 'пополощи', 'порог', 'пирог']",1.0
156,Русские народные частушки.html,"Скоро я хозяйкой стану 
У милого во дому: 
Будут ужинать садиться 
По приказу моему",4,ABCB,"['стану', 'дому', 'садиться', 'моему']",1.0
157,Veselye-Russkie-chastushki.html,"Полюбила сокола, 
Ему носочки штопала
А он, проклятый крокодил, 
С другими шашни заводил",4,AABB,"['сокола', 'штопала', 'крокодил', 'заводил']",1.0
158,Русские народные частушки.html,"Я подрос на сантиметр, 
А Витёк - на целых пять
А Лариска растолстела, 
Целым классом не обнять",4,ABCB,"['сантиметр', 'пять', 'растолстела', 'обнять']",1.0
159,Русские народные частушки.html,"В свою старую избу 
Всех я зазываю, 
Стол накрыт давным давно, 
Пирог уж остывает!",4,ABCB,"['избу', 'зазываю', 'давно', 'остывает']",1.0
160,Русские народные частушки.html,"Наступили холода, 
Холода суровые, 
А мне тёща напекла 
Пироги медовые",4,ABCB,"['холода', 'суровые', 'напекла', 'медовые']",1.0
